Time,P_real,P_uoc
1/5/2025 13:00,19.685759,32.18011993850149
1/5/2025 13:10,26.978526799999997,30.75849639924444
1/5/2025 13:20,27.0351646,27.0351646
1/5/2025 13:30,25.0027578,25.0027578
1/5/2025 13:40,24.3928236,24.3928236
1/5/2025 13:50,17.0845066,17.0845066
1/5/2025 14:00,18.126321,18.126321
1/5/2025 14:10,22.3433274,22.3433274
1/5/2025 14:20,26.1399988,26.1399988
1/5/2025 14:30,25.732747,25.732747
1/5/2025 14:40,25.548978599999998,25.548978599999998
1/5/2025 14:50,23.1123908,23.1123908
1/5/2025 15:00,24.717128600000002,24.717128600000002
1/5/2025 15:10,24.622911,24.622911
1/5/2025 15:20,24.691249199999998,24.691249199999998
1/5/2025 15:30,20.5842958,20.5842958
1/5/2025 15:40,12.2317006,12.2317006
1/5/2025 15:50,7.0899474,7.0899474
1/5/2025 16:00,6.9725652,6.9725652
1/5/2025 16:10,10.715007199999999,10.715007199999999
1/5/2025 16:20,11.434447,11.434447
1/5/2025 16:30,6.5185932,6.5185932
1/5/2025 16:40,5.0852464,5.0852464
1/5/2025 16:50,4.747483,4.747483
1/5/2025 17:00,3.1399786,3.1399786
1/5/2025 17:10,1.4024238,1.4024238
1/5/2025 17:20,0.7644356,0.7644356
1/5/2025 17:30,0.45976059999999996,0.45976059999999996
1/5/2025 17:40,0.1401632,0.1401632
1/5/2025 17:50,0.060034,0.060034
1/5/2025 18:00,0,0
1/5/2025 18:10,0,0.2318662933566976
1/5/2025 18:20,0,0.2318662933566976
1/5/2025 18:30,0,0
1/5/2025 18:40,0,0
1/5/2025 18:50,0,0
1/5/2025 19:00,0,0
1/5/2025 19:10,0,0
1/5/2025 19:20,0,0
1/5/2025 19:30,0,0
1/5/2025 19:40,0,0
1/5/2025 19:50,0,0
1/5/2025 20:00,0,0
1/5/2025 20:10,0,0
1/5/2025 20:20,0,0
1/5/2025 20:30,0,0
1/5/2025 20:40,0,0
1/5/2025 20:50,0,0
